customer_id,age,gender,trip_type,destination,past_bookings,booking_complete
1,56,Male,RoundTrip,Tokyo,2,0
2,69,Female,RoundTrip,Paris,3,0
3,46,Female,OneWay,New York,1,0
4,32,Female,RoundTrip,Tokyo,0,0
5,60,Male,RoundTrip,Paris,3,0
6,25,Female,MultiCity,Tokyo,4,0
7,38,Female,RoundTrip,Paris,0,0
8,56,Female,RoundTrip,Paris,1,0
9,36,Male,OneWay,London,0,0
10,40,Male,OneWay,Delhi,4,0
11,28,Female,MultiCity,Paris,4,1
12,28,Female,MultiCity,New York,0,0
13,41,Female,OneWay,Delhi,3,0
14,53,Male,RoundTrip,London,3,0
15,57,Male,RoundTrip,Delhi,4,0
16,41,Male,RoundTrip,Delhi,2,1
17,20,Female,RoundTrip,Paris,2,0
18,39,Male,OneWay,New York,3,0
19,19,Female,OneWay,Paris,2,1
20,41,Female,RoundTrip,New York,3,1
21,61,Male,OneWay,New York,1,1
22,47,Female,RoundTrip,Tokyo,3,0
23,55,Male,RoundTrip,Paris,1,0
24,19,Female,OneWay,London,4,1
25,38,Female,RoundTrip,Delhi,2,1
26,50,Male,RoundTrip,Tokyo,4,0
27,29,Female,RoundTrip,London,0,1
28,39,Female,RoundTrip,Paris,0,0
29,61,Female,OneWay,New York,4,0
30,42,Female,MultiCity,Paris,3,0
31,66,Female,RoundTrip,Paris,3,0
32,44,Female,RoundTrip,Tokyo,2,0
33,59,Female,OneWay,London,4,0
34,45,Female,MultiCity,Tokyo,0,0
35,33,Male,RoundTrip,London,4,0
36,32,Male,RoundTrip,Tokyo,4,0
37,64,Female,OneWay,Delhi,2,1
38,68,Female,OneWay,New York,3,0
39,61,Male,RoundTrip,New York,0,1
40,69,Female,OneWay,New York,2,0
41,20,Male,RoundTrip,Delhi,0,1
42,54,Male,RoundTrip,Delhi,0,0
43,68,Male,RoundTrip,New York,3,1
44,24,Female,OneWay,New York,3,0
45,38,Female,RoundTrip,London,2,0
46,26,Female,RoundTrip,London,1,0
47,56,Male,RoundTrip,Paris,2,1
48,35,Male,OneWay,Tokyo,2,1
49,21,Male,RoundTrip,London,1,0
50,42,Female,RoundTrip,London,0,0
51,31,Male,RoundTrip,London,4,1
52,67,Male,OneWay,London,1,1
53,26,Female,RoundTrip,Delhi,4,0
54,43,Male,RoundTrip,Paris,0,1
55,19,Male,RoundTrip,London,1,0
56,37,Female,OneWay,Tokyo,3,1
57,45,Female,RoundTrip,London,2,1
58,64,Male,OneWay,Delhi,1,0
59,24,Female,OneWay,New York,1,0
60,61,Male,MultiCity,New York,0,0
61,25,Female,RoundTrip,Paris,3,0
62,64,Male,MultiCity,New York,1,1
63,52,Female,RoundTrip,London,3,1
64,31,Male,RoundTrip,Delhi,4,0
65,34,Female,OneWay,Paris,1,1
66,53,Female,RoundTrip,London,3,0
67,67,Female,RoundTrip,New York,2,1
68,57,Female,RoundTrip,Tokyo,0,1
69,21,Female,OneWay,London,3,1
70,19,Female,RoundTrip,Tokyo,0,0
71,23,Female,OneWay,Tokyo,1,0
72,59,Male,OneWay,Paris,1,0
73,21,Male,OneWay,Delhi,4,0
74,46,Female,RoundTrip,New York,0,0
75,35,Female,MultiCity,New York,2,1
76,43,Male,RoundTrip,London,2,0
77,61,Male,RoundTrip,New York,3,0
78,51,Female,RoundTrip,Paris,2,0
79,27,Male,RoundTrip,New York,0,0
80,53,Male,RoundTrip,London,1,0
81,31,Female,RoundTrip,New York,0,0
82,48,Female,RoundTrip,Delhi,0,0
83,65,Female,RoundTrip,Tokyo,1,0
84,32,Male,OneWay,Tokyo,0,0
85,25,Female,OneWay,Tokyo,2,0
86,31,Female,OneWay,Delhi,3,1
87,40,Male,RoundTrip,Paris,3,1
88,57,Female,RoundTrip,London,0,0
89,38,Male,MultiCity,Delhi,1,0
90,33,Male,RoundTrip,London,4,1
91,62,Male,OneWay,Paris,0,0
92,35,Male,RoundTrip,Delhi,0,0
93,64,Male,MultiCity,New York,4,0
94,41,Male,RoundTrip,Paris,3,1
95,43,Female,RoundTrip,Tokyo,3,1
96,42,Female,OneWay,Delhi,4,0
97,62,Female,RoundTrip,Paris,1,0
98,58,Male,RoundTrip,Paris,0,0
99,46,Female,RoundTrip,Delhi,2,1
100,32,Male,OneWay,Tokyo,3,1
101,62,Female,RoundTrip,Tokyo,3,0
102,18,Male,RoundTrip,Paris,3,1
103,42,Female,RoundTrip,London,1,0
104,24,Male,RoundTrip,Paris,4,0
105,26,Female,OneWay,Delhi,1,0
106,41,Male,RoundTrip,Delhi,3,0
107,18,Female,RoundTrip,Delhi,0,0
108,61,Male,RoundTrip,Tokyo,3,1
109,25,Female,RoundTrip,New York,0,0
110,41,Female,RoundTrip,Delhi,0,0
111,28,Female,RoundTrip,Delhi,3,0
112,68,Male,RoundTrip,London,3,0
113,34,Male,MultiCity,London,0,0
114,25,Male,RoundTrip,Paris,1,0
115,52,Male,OneWay,Paris,1,0
116,52,Male,RoundTrip,Paris,1,0
117,50,Female,RoundTrip,Delhi,2,0
118,22,Male,RoundTrip,London,0,0
